0,1,2,company
-0.22392343,-0.5142244,-1.0218917,ball
-0.19313705,-0.5022417,-0.9729314,automatic data processing
-1.3245808,0.57052904,-2.6472666,ebay
0.16237551,-0.8985015,-0.8688971,becton dickinson
-0.4956649,-1.399011,-0.18897474,yum brands
-0.599206,-1.3310033,-0.0020638178,aflac
-1.3400748,0.9538131,-2.5612528,hilton worldwide holdings
0.624282,-0.64412993,-0.6383396,linde
-0.9125624,-1.6321081,0.30489188,accenture
-0.86803645,-1.6318964,0.06163322,roku
0.21215847,-1.8205466,-0.71804166,amgen
1.4401548,-0.72599036,-1.0524983,waste management
-0.1323817,-0.68695676,0.011019917,altria
-0.63763046,-1.1978161,0.05865512,ametek
1.5641472,-0.82566094,-0.30854315,ansys
-0.9273137,-0.576207,0.57295775,fedex
-0.56518173,-1.3223745,-0.28053117,servicenow
-0.7562475,-2.4438577,0.23018199,oreilly automotive
-0.57728183,-2.2966816,0.9488323,archer daniels midland
-0.42391372,-0.52840227,-0.52724004,microchip technology
0.8853828,-0.66338134,0.3640566,netflix
-0.47380224,-1.6644653,0.68412316,morgan stanley
-1.2252927,-1.3947903,0.033864375,twitter
-1.547689,-1.0666906,-0.41525972,raytheon technologies
-0.4671915,-1.6626354,0.7727678,american express
1.9672064,-1.5516866,-1.382676,truist financial
-1.4197649,-1.5392653,0.00017312702,northrop grumman
-1.6411875,-1.6271787,-1.0982832,pfizer
2.9948897,-0.9033795,-2.2694888,visa
0.06438833,-0.6878122,-0.98693514,charles schwab
-1.3853215,-0.8481162,0.4192367,splunk
3.28148,3.596623,9.306616,illumina
0.9238088,-1.3966181,2.8535657,dexcom
-1.8657062,0.96319175,-2.5041482,general motors
-2.169411,1.0482038,-2.904989,constellation brands
-1.2675536,-0.6860695,0.4510245,fiserv
-0.52752817,-2.496119,-0.34168503,charter communications
-0.46950787,0.6420362,1.2512966,dominion
0.73527765,-1.191028,-1.0882076,docusign
1.0129869,0.05498469,1.0634241,marriott
0.0024496517,-1.5615575,-0.047548167,thermo fisher scientific
0.36807233,-0.8418477,3.011224,coca cola
-1.3842202,-1.521034,-0.37350696,resmed
-0.1507316,-0.36526513,0.48944023,boeing
-2.6423426,0.9503312,-2.0872033,delta air lines
1.5344594,-1.0274096,0.14705336,moderna
2.4497457,0.10167116,-0.9538595,paychex
-0.0806925,-0.7128881,0.31884655,seagen
-0.49407542,-1.8280305,1.9408976,public service enterprise
4.5400157,0.0764894,-1.8006166,costco wholesale
-1.4765588,0.52586734,0.97570074,dollar tree
-0.2659725,-1.3152382,0.6969782,carrier global
-1.2066767,-0.95502454,-0.23923753,cerner
-0.9085681,-1.6492883,0.84310263,american
0.032628935,2.6038904,0.22578079,autodesk
-1.2812854,-1.9266016,0.81270325,prudential financial
-1.8712335,0.5764839,-1.8459601,crowdstrike holdings
-0.35741237,-2.2691786,1.2896609,zoetis
-1.8317361,1.2163448,-2.4321039,pinterest
4.1665425,0.61818385,-1.0239465,vertex
0.88992494,0.24417734,-0.550736,synopsys
-0.29677066,-1.4044497,0.70058507,cummins
4.23381,0.81051475,-0.47290978,transdigm
4.0998783,-0.2350159,-0.28428063,valero
-3.0784912,4.373777,1.4210298,viacomcbs
-0.17176428,-2.6976857,0.22265707,pepsico
-3.3259156,4.8798623,-0.8546445,paccar
4.933824,1.4185121,-0.94807273,prologis
-1.6236444,-1.1981375,0.37396052,edwards lifesciences
5.1365566,1.0897689,-0.9841454,abbott laboratories
3.603201,0.028908104,-0.30263922,keysight technologies
-0.45084956,-1.4442652,-0.034944084,cigna
4.019301,0.87466156,-1.1405272,lockheed martin
4.5486646,1.2127694,-0.58807194,simon property
0.77744406,-0.90189916,0.9627365,mastercard
4.476145,0.33964413,-0.47708115,international business machines
2.5862885,0.23974402,-0.6815929,american electric power
4.5690017,0.77028584,-0.18500547,msci
-1.9974372,4.2499948,-0.641839,xcel
-1.9299062,-1.7509419,-0.02885287,workday
-1.8868771,-1.3368279,0.55700064,intuit
4.2810445,0.89859205,-0.17589763,bristol myers squibb
3.9357548,0.8259179,-1.1918963,blackrock
4.39968,0.56408715,-0.7160122,global payments
-0.9492556,-1.0089809,0.17244336,amphenol
-1.0544016,-0.9550766,0.1509722,abbvie
0.058016285,-0.6868531,0.9272206,marvell technology group ltd
-1.8379142,1.7320079,-1.9148643,anthem
-0.4567128,-0.05656428,-0.3507828,broadcom
4.3149943,1.0067921,-0.74713737,facebook
-1.9692571,1.8843383,-2.4133587,progressive
-0.4544228,2.226245,-0.15429233,eversource
4.4622393,1.1493173,-0.4329053,corning
4.0246243,0.5522389,-0.17925471,peloton interactive
-1.4556513,4.690756,-0.24549614,corteva
1.6419877,0.08912075,0.8404062,metlife
2.4050314,0.38618195,-0.8973578,southwest airlines
-1.097018,-1.5085447,1.2431176,zimmer biomet holdings
-0.6080295,0.29586655,0.79393655,clorox
-0.1040975,0.5010346,1.2126577,intel corporation
0.68351704,0.94351286,-0.95402807,vf
-1.7301282,-0.8846239,0.8172437,walmart
-0.06580538,-1.2235849,0.9411948,uber technologies
-0.28506938,-1.4835422,1.338764,teladoc health
-1.1397852,-0.645778,0.080079705,apple
-2.0546498,2.7236075,1.8529594,parker hannifin
-1.8952434,0.26875895,-1.374,digital realty
1.8988123,0.023429548,-0.65619373,emerson electric
-0.81061137,-0.33727056,-0.1587246,dollar general
-0.17394465,-1.2432747,0.8687227,lam research
-2.324398,-0.4973992,-1.139321,cadence design systems
-0.872255,-0.3900287,0.10749859,schlumberger
-0.31233007,0.10098214,0.16752407,union pacific
-0.27586186,0.024573829,-0.28653485,lululemon athletica
-0.73212254,0.85526353,0.7957765,eli lilly
-0.24646549,-0.05186809,1.2205435,hp
-0.6909397,-0.4445409,0.0067112655,first republic bank
-1.8067677,0.40009552,-1.1963851,paypal holdings
0.43382883,1.2364649,2.199574,travelers companies
-2.3269205,3.8441145,-0.57132065,sempra
0.37373835,-0.04549536,-0.63234514,analog devices
-0.69071954,1.9236552,-0.7684699,chubb ltd
-1.3871948,0.705626,0.00448429,starbucks
0.30273306,1.4839075,0.37571993,maxim integrated products
1.000058,-1.255827,0.2094901,freeport mcmoran
0.32387894,0.0048753745,1.0250041,allstate
0.40414494,0.5236268,-0.01911371,citigroup
-0.87720895,1.4333185,-0.7765801,general electric
-0.38804793,0.26535952,1.1368835,eaton
0.7543913,-0.20214279,-0.33522302,home depot
0.14985265,-0.20723759,-0.06466537,adobe
-0.90161157,-0.07099514,0.17266339,comcast
-0.73013246,3.4816875,1.7778956,etsy
-0.6284816,-0.8726043,0.078976154,electronic arts
0.42424008,0.56913143,1.5498416,cisco systems
-2.0143013,2.9670668,2.0066006,philip morris
2.5667434,0.82019293,-0.2686358,advanced micro devices
-0.21545006,0.31039372,-0.5794325,ross stores
-0.11911815,-0.34201306,-0.03088617,costar
-0.8730882,3.6276646,1.6976607,veeva systems
-0.73261184,-0.9616819,0.45256263,xilinx
-0.7231001,-0.9572116,-0.062728904,rockwell automation
0.18600307,1.0872576,1.912464,caterpillar
0.07474407,-0.30614713,-0.022600982,skyworks solutions
-0.6792791,-0.23211356,0.56802267,colgate palmolive
-0.27361456,-0.4364261,-0.3551478,conocophillips
-1.2659271,-1.0794094,0.42089215,capital one financial
0.24117522,-0.66814417,1.0720663,unitedhealth
0.1377203,-0.9531887,1.2074543,kimberly clark
-0.03787058,-0.85331917,0.9132665,intercontinental exchange
-0.29659277,-0.22155306,-1.0766406,boston scientific
-0.19093522,-0.41182578,-0.14485236,willis towers watson
0.3380568,0.084827825,-0.44246802,danaher
-0.3275102,-0.3581344,-0.050865285,dow
-1.093225,3.294046,-0.011350361,microsoft
-0.02346462,0.21104261,0.19079542,cognizant technology solutions
0.31396416,-0.5487114,0.14396842,goldman sachs
-0.5626206,-0.38279822,0.35853383,chipotle mexican grill
-1.9941416,2.159584,-0.8442556,verizon communications
-0.7144056,-0.3656741,-0.17142004,duke
0.77409637,0.34594712,0.070514075,alexion
1.1726977,0.22113645,-0.06788517,twilio
0.17431194,-0.08692332,-0.7611474,united parcel service
-0.419589,-0.0056538926,-0.45830926,marathon petroleum
-0.28598815,0.032568034,0.56223,agilent technologies
-0.581757,-0.012521611,-0.21570237,biogen
-0.6457396,-0.55800974,0.034593295,mcdonalds
-0.4331837,-0.89874893,0.54111457,coupa software
-0.087742366,-0.41022685,-0.26773328,chevron
-0.57316995,-0.40917957,-0.10793397,edison
-1.1448895,0.42950085,0.14769852,micron technology
0.2179232,1.2074424,1.2823896,ringcentral
-0.6471052,1.104897,-0.35984993,kinder morgan
0.6489915,0.6564775,0.7311416,bank of
0.42813492,-0.6125555,0.32231575,berkshire hathaway
-0.50354874,0.18735133,1.2643656,spotify technology
-0.67193794,0.27329132,-0.6154229,okta
-0.08927859,-0.5880711,0.5429602,kroger
0.4094715,-0.233812,0.46210903,dupont de nemours
-0.41635093,0.8244732,-0.10912592,t rowe price
-0.29723835,-0.643849,-0.069690265,mckesson
-0.5416057,-0.03276686,-0.15169775,alphabet
-0.6188971,-0.30239272,-0.40349826,nike
-0.8426766,-0.5209077,-0.2500614,mondelez
1.253111,0.7326863,0.4969133,roper technologies
0.5537982,-0.3183852,0.18223792,sysco
0.10087634,-0.20012164,-0.06509553,exxon mobil
-0.4773413,-0.41794512,-0.39052486,norfolk southern
0.0979014,-0.4528961,0.5197667,tesla
-0.20633774,-0.37495738,-0.34438202,walt disney
-0.1298523,-0.24136314,0.11870733,sherwin williams
-1.5831491,1.8687716,-0.35254055,walgreen boots alliance
-0.03638578,-0.062703684,-0.09694967,motorola solutions
-0.27051353,-0.23350447,0.17689393,ford motor
-0.4237589,-0.105109245,-0.30895707,nextera
0.7574693,0.16445233,0.031309552,baxter
-0.7706144,0.8937863,-0.7255575,otis worldwide
-0.08542939,-0.19367185,-0.09738725,square
-0.0741737,-0.1114383,-0.11260413,centene
-1.0918646,1.7896258,0.07056586,activision blizzard
-0.5895287,-0.6476975,0.27246594,oracle
0.42543536,0.15276358,0.45578668,qualcomm
-0.06410024,-0.17680937,0.24140987,honeywell
-0.57212836,-0.40652823,-0.1344252,palo alto networks
-0.319005,-0.086611,-0.20769028,humana
-1.3322855,1.5539947,-0.33301902,intuitive surgical
-0.18859439,-0.17693755,-0.38908672,nvidia
-0.3788104,1.2557598,-0.10790287,stryker
-0.5280587,-0.2538654,-0.33340856,exelon
-0.16887078,-0.22136366,-0.3071409,gilead sciences
-0.7206464,-0.20915048,-0.2403413,johnson controls
-0.78271174,0.024469635,0.21269487,autozone
-0.4054156,-0.10880745,-0.33662808,regeneron
-0.21914266,-0.18682434,-0.30708647,medtronic
-0.6842823,0.3757968,-0.6097425,wells fargo
-0.4570299,-0.35068077,-0.31899965,best buy
